class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
RegionSimilarityCalculatorBuilderTest,cartoonify/app/object_detection/builders/region_similarity_calculator_builder_test.py,3,3,0,1.0,10,2,40,0,20.0,1,0,0
PreprocessorBuilderTest,cartoonify/app/object_detection/builders/preprocessor_builder_test.py,29,29,0,1.0,17,2,530,0,265.0,1,0,0
HyperparamsBuilderTest,cartoonify/app/object_detection/builders/hyperparams_builder_test.py,21,21,86,0.274,29,2,419,0,209.5,1,0,0
BoxCoderBuilderTest,cartoonify/app/object_detection/builders/box_coder_builder_test.py,8,8,0,0.607,14,2,106,0,53.0,1,0,0
MatcherBuilderTest,cartoonify/app/object_detection/builders/matcher_builder_test.py,5,5,0,0.6,12,2,69,0,34.5,1,0,0
PostProcessingBuilderTest,cartoonify/app/object_detection/builders/post_processing_builder_test.py,6,6,0,1.0,15,2,82,0,41.0,1,0,0
AnchorGeneratorBuilderTest,cartoonify/app/object_detection/builders/anchor_generator_builder_test.py,9,9,0,0.583,33,2,227,0,113.5,1,0,0
ImageResizerBuilderTest,cartoonify/app/object_detection/builders/image_resizer_builder_test.py,6,6,7,0.267,23,2,72,0,36.0,1,0,0
InputReaderBuilderTest,cartoonify/app/object_detection/builders/input_reader_builder_test.py,4,4,0,0.5,24,2,112,0,56.0,1,0,0
LearningRateBuilderTest,cartoonify/app/object_detection/builders/optimizer_builder_test.py,5,5,4,0.3,12,2,78,0,39.0,1,0,0
OptimizerBuilderTest,cartoonify/app/object_detection/builders/optimizer_builder_test.py,6,6,0,0.667,12,2,108,0,54.0,1,0,0
LocalizationLossBuilderTest,cartoonify/app/object_detection/builders/losses_builder_test.py,5,5,0,0.6,16,2,89,0,44.5,1,0,0
ClassificationLossBuilderTest,cartoonify/app/object_detection/builders/losses_builder_test.py,8,8,0,0.75,16,2,148,0,74.0,1,0,0
HardExampleMinerBuilderTest,cartoonify/app/object_detection/builders/losses_builder_test.py,4,4,0,1.0,11,2,86,0,43.0,1,0,0
LossBuilderTest,cartoonify/app/object_detection/builders/losses_builder_test.py,2,2,1,0.0,15,2,51,0,25.5,1,0,0
FasterRcnnClassificationLossBuilderTest,cartoonify/app/object_detection/builders/losses_builder_test.py,3,3,0,1.0,10,2,37,0,18.5,1,0,0
ModelBuilderTest,cartoonify/app/object_detection/builders/model_builder_test.py,11,11,0,0.622,21,2,696,0,348.0,1,0,0
KeypointBoxCoder,cartoonify/app/object_detection/box_coders/keypoint_box_coder.py,5,4,0,1.0,39,2,125,0,62.5,1,0,0
